"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL85";"RISPERIDONE";"LY-03004|LY03004|N05AX08|NSC-759895|PERSERIS|PERSERIS KIT|R 64 766|R-64,766|R-64-766|R-64766|RCN-3028|RCN3028|RISPERDAL CONSTA|RISPERDAL QUICKLET|RISPERIDONE|Risperdal|Risperdal Consta Long Acting|Risperdal M|Risperdal M-TAB";"Small molecule";"4.0";"410.49";"213";"1366";"3.59";"64.16";"6";"0";"0";"4";"N";"0.66";"None";"8.76";"2.63";"1.25";"3";"MOL";"0";"30";"6";"0";"0";"410.2118";"-1.47";"BASE";"C23H27FN4O2";"Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2";"RAPZEAPATHNIPO-UHFFFAOYSA-N"
"CHEMBL1621";"PALIPERIDONE";"9-HYDROXYRISPERIDONE|Invega|NSC-759623|PALIPERIDONE|R-76477|RISPERIDONE IMPURITY, 9-HYDROXYRISPERIDONE-|RO-76477|RO76477|TREVICTA|XEPLION";"Small molecule";"4.0";"426.49";"35";"91";"3.08";"84.39";"7";"1";"0";"4";"N";"0.69";"13.74";"8.76";"1.76";"0.38";"3";"MOL";"0";"31";"7";"1";"0";"426.2067";"-0.89";"BASE";"C23H27FN4O3";"Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O";"PMXMIIMHBWHSKN-UHFFFAOYSA-N"
"CHEMBL219916";"DOMPERIDONE";"DOMILIUM|DOMPERIDONE|EVOXIN|MOTILIUM 10|MOTILIUM INSTANTS|Motilium|NSC-299589|NSC-759575|R 33,812|R-33812|VIVADONE";"Small molecule";"4.0";"425.92";"256";"679";"3.35";"78.82";"5";"2";"0";"5";"N";"0.51";"12.52";"7.03";"2.90";"2.75";"4";"MOL";"0";"30";"7";"2";"0";"425.1619";"-1.54";"NEUTRAL";"C22H24ClN5O2";"O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1";"FGXWKSZFVQUSTL-UHFFFAOYSA-N"
"CHEMBL2107360";"PALIPERIDONE PALMITATE";"INVEGA HAFYERA|INVEGA SUSTENNA|INVEGA TRINZA|JNS-010|JNS010|PALIPERIDONE PALMITATE|PALPERIDONE PALMITATE|R-092670|R092670|RO-92670|RO92670";"Small molecule";"4.0";"664.91";"";"";"9.11";"90.46";"8";"0";"2";"19";"N";"0.09";"None";"8.76";"8.68";"7.30";"3";"MOL";"0";"48";"8";"0";"2";"664.4364";"-0.53";"BASE";"C39H57FN4O4";"CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O";"VOMKSBFLAZZBOW-UHFFFAOYSA-N"
"CHEMBL14376";"ILOPERIDONE";"FANAPT|HP 873|HP-873|ILOPERIDONE";"Small molecule";"4.0";"426.49";"22";"57";"4.83";"64.80";"6";"0";"0";"8";"N";"0.38";"None";"7.91";"3.22";"2.60";"3";"MOL";"0";"31";"6";"0";"0";"426.1955";"-1.21";"NEUTRAL";"C24H27FN2O4";"COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1";"XMXHEBAFVSFQEX-UHFFFAOYSA-N"
